l0_name,l1_name,l2_name,l0_id,l1_id,l2_id
Engineering,Aerospace engineering,Design language,127413603,146978453,49777639
Engineering,Aerospace engineering,Destiny (ISS module),127413603,146978453,44761211
Engineering,Aerospace engineering,Diesel engine,127413603,146978453,2780804531
Engineering,Aerospace engineering,Differential (mechanical device),127413603,146978453,93226319
Engineering,Aerospace engineering,Dimensioning,127413603,146978453,89714869
Engineering,Aerospace engineering,Dinitrogen tetroxide,127413603,146978453,2776450248
Engineering,Aerospace engineering,Direct flight,127413603,146978453,91553880
Engineering,Aerospace engineering,Direct voice input,127413603,146978453,141586517
Engineering,Aerospace engineering,Directional stability,127413603,146978453,170957281
Engineering,Aerospace engineering,Discovery One,127413603,146978453,2778886285
Engineering,Aerospace engineering,Distance measuring equipment,127413603,146978453,185897851
Engineering,Aerospace engineering,Distributor,127413603,146978453,2776814158
Engineering,Aerospace engineering,Dog-tooth,127413603,146978453,2776206260
Engineering,Aerospace engineering,Draco (genus),127413603,146978453,2781406217
Engineering,Aerospace engineering,Drag,127413603,146978453,72921944
Engineering,Aerospace engineering,Drive wheel,127413603,146978453,2778852349
Engineering,Aerospace engineering,Drogue parachute,127413603,146978453,81595293
Engineering,Aerospace engineering,Drop test,127413603,146978453,2775865969
Engineering,Aerospace engineering,Dutch roll,127413603,146978453,98312606
Engineering,Aerospace engineering,Dynamic pressure,127413603,146978453,172860338
Engineering,Aerospace engineering,Dynamometer,127413603,146978453,102284421
Engineering,Aerospace engineering,Ecompass,127413603,146978453,2781310724
Engineering,Aerospace engineering,Effect of spaceflight on the human body,127413603,146978453,46119213
Engineering,Aerospace engineering,Electro-optical MASINT,127413603,146978453,24664331
Engineering,Aerospace engineering,Electronic control unit,127413603,146978453,181229668
Engineering,Aerospace engineering,Electronic stability control,127413603,146978453,207269410
Engineering,Aerospace engineering,Elevator,127413603,146978453,147021018
Engineering,Aerospace engineering,En-route chart,127413603,146978453,2781177231
Engineering,Aerospace engineering,Energy–maneuverability theory,127413603,146978453,2777324259
Engineering,Aerospace engineering,Engine tuning,127413603,146978453,2778682304
Engineering,Aerospace engineering,Environmental control system,127413603,146978453,10612715
Engineering,Aerospace engineering,Estimated time of arrival,127413603,146978453,2777994940
Engineering,Aerospace engineering,Eulithis populata,127413603,146978453,2778910771
Engineering,Aerospace engineering,European Physiology Modules,127413603,146978453,2776504900
Engineering,Aerospace engineering,Exhaust heat management,127413603,146978453,2776245949
Engineering,Aerospace engineering,Exoskeletal engine,127413603,146978453,2775995207
Engineering,Aerospace engineering,Experimental aircraft,127413603,146978453,2910014156
Engineering,Aerospace engineering,FANS-1/A,127413603,146978453,2778023365
Engineering,Aerospace engineering,Fin,127413603,146978453,91721477
